visit_date,year,month,day,season,day_of_week,working_day,holiday_flg
2016-01-01,0,1,1,0,5,0,1
2016-01-02,0,1,2,0,6,1,1
2016-01-03,0,1,3,0,0,1,1
2016-01-04,0,1,4,0,1,0,0
2016-01-05,0,1,5,0,2,0,0
2016-01-06,0,1,6,0,3,0,0
2016-01-07,0,1,7,0,4,0,0
2016-01-08,0,1,8,0,5,0,0
2016-01-09,0,1,9,0,6,1,0
2016-01-10,0,1,10,0,0,1,0
2016-01-11,0,1,11,0,1,0,1
2016-01-12,0,1,12,0,2,0,0
2016-01-13,0,1,13,0,3,0,0
2016-01-14,0,1,14,0,4,0,0
2016-01-15,0,1,15,0,5,0,0
2016-01-16,0,1,16,0,6,1,0
2016-01-17,0,1,17,0,0,1,0
2016-01-18,0,1,18,0,1,0,0
2016-01-19,0,1,19,0,2,0,0
2016-01-20,0,1,20,0,3,0,0
2016-01-21,0,1,21,0,4,0,0
2016-01-22,0,1,22,0,5,0,0
2016-01-23,0,1,23,0,6,1,0
2016-01-24,0,1,24,0,0,1,0
2016-01-25,0,1,25,0,1,0,0
2016-01-26,0,1,26,0,2,0,0
2016-01-27,0,1,27,0,3,0,0
2016-01-28,0,1,28,0,4,0,0
2016-01-29,0,1,29,0,5,0,0
2016-01-30,0,1,30,0,6,1,0
2016-01-31,0,1,31,0,0,1,0
2016-02-01,0,2,1,0,1,0,0
2016-02-02,0,2,2,0,2,0,0
2016-02-03,0,2,3,0,3,0,0
2016-02-04,0,2,4,0,4,0,0
2016-02-05,0,2,5,0,5,0,0
2016-02-06,0,2,6,0,6,1,0
2016-02-07,0,2,7,0,0,1,0
2016-02-08,0,2,8,0,1,0,0
2016-02-09,0,2,9,0,2,0,0
2016-02-10,0,2,10,0,3,0,0
2016-02-11,0,2,11,0,4,0,1
2016-02-12,0,2,12,0,5,0,0
2016-02-13,0,2,13,0,6,1,0
2016-02-14,0,2,14,0,0,1,0
2016-02-15,0,2,15,0,1,0,0
2016-02-16,0,2,16,0,2,0,0
2016-02-17,0,2,17,0,3,0,0
2016-02-18,0,2,18,0,4,0,0
2016-02-19,0,2,19,0,5,0,0
2016-02-20,0,2,20,0,6,1,0
2016-02-21,0,2,21,0,0,1,0
2016-02-22,0,2,22,0,1,0,0
2016-02-23,0,2,23,0,2,0,0
2016-02-24,0,2,24,0,3,0,0
2016-02-25,0,2,25,0,4,0,0
2016-02-26,0,2,26,0,5,0,0
2016-02-27,0,2,27,0,6,1,0
2016-02-28,0,2,28,0,0,1,0
2016-02-29,0,2,29,0,1,0,0
2016-03-01,0,3,1,1,2,0,0
2016-03-02,0,3,2,1,3,0,0
2016-03-03,0,3,3,1,4,0,0
2016-03-04,0,3,4,1,5,0,0
2016-03-05,0,3,5,1,6,1,0
2016-03-06,0,3,6,1,0,1,0
2016-03-07,0,3,7,1,1,0,0
2016-03-08,0,3,8,1,2,0,0
2016-03-09,0,3,9,1,3,0,0
2016-03-10,0,3,10,1,4,0,0
2016-03-11,0,3,11,1,5,0,0
2016-03-12,0,3,12,1,6,1,0
2016-03-13,0,3,13,1,0,1,0
2016-03-14,0,3,14,1,1,0,0
2016-03-15,0,3,15,1,2,0,0
2016-03-16,0,3,16,1,3,0,0
2016-03-17,0,3,17,1,4,0,0
2016-03-18,0,3,18,1,5,0,0
2016-03-19,0,3,19,1,6,1,0
2016-03-20,0,3,20,1,0,1,1
2016-03-21,0,3,21,1,1,0,1
2016-03-22,0,3,22,1,2,0,0
2016-03-23,0,3,23,1,3,0,0
2016-03-24,0,3,24,1,4,0,0
2016-03-25,0,3,25,1,5,0,0
2016-03-26,0,3,26,1,6,1,0
2016-03-27,0,3,27,1,0,1,0
2016-03-28,0,3,28,1,1,0,0
2016-03-29,0,3,29,1,2,0,0
2016-03-30,0,3,30,1,3,0,0
2016-03-31,0,3,31,1,4,0,0
2016-04-01,0,4,1,1,5,0,0
2016-04-02,0,4,2,1,6,1,0
2016-04-03,0,4,3,1,0,1,0
2016-04-04,0,4,4,1,1,0,0
2016-04-05,0,4,5,1,2,0,0
2016-04-06,0,4,6,1,3,0,0
2016-04-07,0,4,7,1,4,0,0
2016-04-08,0,4,8,1,5,0,0
2016-04-09,0,4,9,1,6,1,0
2016-04-10,0,4,10,1,0,1,0
2016-04-11,0,4,11,1,1,0,0
2016-04-12,0,4,12,1,2,0,0
2016-04-13,0,4,13,1,3,0,0
2016-04-14,0,4,14,1,4,0,0
2016-04-15,0,4,15,1,5,0,0
2016-04-16,0,4,16,1,6,1,0
2016-04-17,0,4,17,1,0,1,0
2016-04-18,0,4,18,1,1,0,0
2016-04-19,0,4,19,1,2,0,0
2016-04-20,0,4,20,1,3,0,0
2016-04-21,0,4,21,1,4,0,0
2016-04-22,0,4,22,1,5,0,0
2016-04-23,0,4,23,1,6,1,0
2016-04-24,0,4,24,1,0,1,0
2016-04-25,0,4,25,1,1,0,0
2016-04-26,0,4,26,1,2,0,0
2016-04-27,0,4,27,1,3,0,0
2016-04-28,0,4,28,1,4,0,0
2016-04-29,0,4,29,1,5,0,1
2016-04-30,0,4,30,1,6,1,0
2016-05-01,0,5,1,1,0,1,0
2016-05-02,0,5,2,1,1,0,0
2016-05-03,0,5,3,1,2,0,1
2016-05-04,0,5,4,1,3,0,1
2016-05-05,0,5,5,1,4,0,1
2016-05-06,0,5,6,1,5,0,0
2016-05-07,0,5,7,1,6,1,0
2016-05-08,0,5,8,1,0,1,0
2016-05-09,0,5,9,1,1,0,0
2016-05-10,0,5,10,1,2,0,0
2016-05-11,0,5,11,1,3,0,0
2016-05-12,0,5,12,1,4,0,0
2016-05-13,0,5,13,1,5,0,0
2016-05-14,0,5,14,1,6,1,0
2016-05-15,0,5,15,1,0,1,0
2016-05-16,0,5,16,1,1,0,0
2016-05-17,0,5,17,1,2,0,0
2016-05-18,0,5,18,1,3,0,0
2016-05-19,0,5,19,1,4,0,0
2016-05-20,0,5,20,1,5,0,0
2016-05-21,0,5,21,1,6,1,0
2016-05-22,0,5,22,1,0,1,0
2016-05-23,0,5,23,1,1,0,0
2016-05-24,0,5,24,1,2,0,0
2016-05-25,0,5,25,1,3,0,0
2016-05-26,0,5,26,1,4,0,0
2016-05-27,0,5,27,1,5,0,0
2016-05-28,0,5,28,1,6,1,0
2016-05-29,0,5,29,1,0,1,0
2016-05-30,0,5,30,1,1,0,0
2016-05-31,0,5,31,1,2,0,0
2016-06-01,0,6,1,2,3,0,0
2016-06-02,0,6,2,2,4,0,0
2016-06-03,0,6,3,2,5,0,0
2016-06-04,0,6,4,2,6,1,0
2016-06-05,0,6,5,2,0,1,0
2016-06-06,0,6,6,2,1,0,0
2016-06-07,0,6,7,2,2,0,0
2016-06-08,0,6,8,2,3,0,0
2016-06-09,0,6,9,2,4,0,0
2016-06-10,0,6,10,2,5,0,0
2016-06-11,0,6,11,2,6,1,0
2016-06-12,0,6,12,2,0,1,0
2016-06-13,0,6,13,2,1,0,0
2016-06-14,0,6,14,2,2,0,0
2016-06-15,0,6,15,2,3,0,0
2016-06-16,0,6,16,2,4,0,0
2016-06-17,0,6,17,2,5,0,0
2016-06-18,0,6,18,2,6,1,0
2016-06-19,0,6,19,2,0,1,0
2016-06-20,0,6,20,2,1,0,0
2016-06-21,0,6,21,2,2,0,0
2016-06-22,0,6,22,2,3,0,0
2016-06-23,0,6,23,2,4,0,0
2016-06-24,0,6,24,2,5,0,0
2016-06-25,0,6,25,2,6,1,0
2016-06-26,0,6,26,2,0,1,0
2016-06-27,0,6,27,2,1,0,0
2016-06-28,0,6,28,2,2,0,0
2016-06-29,0,6,29,2,3,0,0
2016-06-30,0,6,30,2,4,0,0
2016-07-01,0,7,1,2,5,0,0
2016-07-02,0,7,2,2,6,1,0
2016-07-03,0,7,3,2,0,1,0
2016-07-04,0,7,4,2,1,0,0
2016-07-05,0,7,5,2,2,0,0
2016-07-06,0,7,6,2,3,0,0
2016-07-07,0,7,7,2,4,0,0
2016-07-08,0,7,8,2,5,0,0
2016-07-09,0,7,9,2,6,1,0
2016-07-10,0,7,10,2,0,1,0
2016-07-11,0,7,11,2,1,0,0
2016-07-12,0,7,12,2,2,0,0
2016-07-13,0,7,13,2,3,0,0
2016-07-14,0,7,14,2,4,0,0
2016-07-15,0,7,15,2,5,0,0
2016-07-16,0,7,16,2,6,1,0
2016-07-17,0,7,17,2,0,1,0
2016-07-18,0,7,18,2,1,0,1
2016-07-19,0,7,19,2,2,0,0
2016-07-20,0,7,20,2,3,0,0
2016-07-21,0,7,21,2,4,0,0
2016-07-22,0,7,22,2,5,0,0
2016-07-23,0,7,23,2,6,1,0
2016-07-24,0,7,24,2,0,1,0
2016-07-25,0,7,25,2,1,0,0
2016-07-26,0,7,26,2,2,0,0
2016-07-27,0,7,27,2,3,0,0
2016-07-28,0,7,28,2,4,0,0
2016-07-29,0,7,29,2,5,0,0
2016-07-30,0,7,30,2,6,1,0
2016-07-31,0,7,31,2,0,1,0
2016-08-01,0,8,1,2,1,0,0
2016-08-02,0,8,2,2,2,0,0
2016-08-03,0,8,3,2,3,0,0
2016-08-04,0,8,4,2,4,0,0
2016-08-05,0,8,5,2,5,0,0
2016-08-06,0,8,6,2,6,1,0
2016-08-07,0,8,7,2,0,1,0
2016-08-08,0,8,8,2,1,0,0
2016-08-09,0,8,9,2,2,0,0
2016-08-10,0,8,10,2,3,0,0
2016-08-11,0,8,11,2,4,0,1
2016-08-12,0,8,12,2,5,0,0
2016-08-13,0,8,13,2,6,1,1
2016-08-14,0,8,14,2,0,1,1
2016-08-15,0,8,15,2,1,0,1
2016-08-16,0,8,16,2,2,0,0
2016-08-17,0,8,17,2,3,0,0
2016-08-18,0,8,18,2,4,0,0
2016-08-19,0,8,19,2,5,0,0
2016-08-20,0,8,20,2,6,1,0
2016-08-21,0,8,21,2,0,1,0
2016-08-22,0,8,22,2,1,0,0
2016-08-23,0,8,23,2,2,0,0
2016-08-24,0,8,24,2,3,0,0
2016-08-25,0,8,25,2,4,0,0
2016-08-26,0,8,26,2,5,0,0
2016-08-27,0,8,27,2,6,1,0
2016-08-28,0,8,28,2,0,1,0
2016-08-29,0,8,29,2,1,0,0
2016-08-30,0,8,30,2,2,0,0
2016-08-31,0,8,31,2,3,0,0
2016-09-01,0,9,1,3,4,0,0
2016-09-02,0,9,2,3,5,0,0
2016-09-03,0,9,3,3,6,1,0
2016-09-04,0,9,4,3,0,1,0
2016-09-05,0,9,5,3,1,0,0
2016-09-06,0,9,6,3,2,0,0
2016-09-07,0,9,7,3,3,0,0
2016-09-08,0,9,8,3,4,0,0
2016-09-09,0,9,9,3,5,0,0
2016-09-10,0,9,10,3,6,1,0
2016-09-11,0,9,11,3,0,1,0
2016-09-12,0,9,12,3,1,0,0
2016-09-13,0,9,13,3,2,0,0
2016-09-14,0,9,14,3,3,0,0
2016-09-15,0,9,15,3,4,0,0
2016-09-16,0,9,16,3,5,0,0
2016-09-17,0,9,17,3,6,1,0
2016-09-18,0,9,18,3,0,1,0
2016-09-19,0,9,19,3,1,0,1
2016-09-20,0,9,20,3,2,0,0
2016-09-21,0,9,21,3,3,0,0
2016-09-22,0,9,22,3,4,0,1
2016-09-23,0,9,23,3,5,0,0
2016-09-24,0,9,24,3,6,1,0
2016-09-25,0,9,25,3,0,1,0
2016-09-26,0,9,26,3,1,0,0
2016-09-27,0,9,27,3,2,0,0
2016-09-28,0,9,28,3,3,0,0
2016-09-29,0,9,29,3,4,0,0
2016-09-30,0,9,30,3,5,0,0
2016-10-01,0,10,1,3,6,1,0
2016-10-02,0,10,2,3,0,1,0
2016-10-03,0,10,3,3,1,0,0
2016-10-04,0,10,4,3,2,0,0
2016-10-05,0,10,5,3,3,0,0
2016-10-06,0,10,6,3,4,0,0
2016-10-07,0,10,7,3,5,0,0
2016-10-08,0,10,8,3,6,1,0
2016-10-09,0,10,9,3,0,1,0
2016-10-10,0,10,10,3,1,0,1
2016-10-11,0,10,11,3,2,0,0
2016-10-12,0,10,12,3,3,0,0
2016-10-13,0,10,13,3,4,0,0
2016-10-14,0,10,14,3,5,0,0
2016-10-15,0,10,15,3,6,1,0
2016-10-16,0,10,16,3,0,1,0
2016-10-17,0,10,17,3,1,0,0
2016-10-18,0,10,18,3,2,0,0
2016-10-19,0,10,19,3,3,0,0
2016-10-20,0,10,20,3,4,0,0
2016-10-21,0,10,21,3,5,0,0
2016-10-22,0,10,22,3,6,1,0
2016-10-23,0,10,23,3,0,1,0
2016-10-24,0,10,24,3,1,0,0
2016-10-25,0,10,25,3,2,0,0
2016-10-26,0,10,26,3,3,0,0
2016-10-27,0,10,27,3,4,0,0
2016-10-28,0,10,28,3,5,0,0
2016-10-29,0,10,29,3,6,1,0
2016-10-30,0,10,30,3,0,1,0
2016-10-31,0,10,31,3,1,0,0
2016-11-01,0,11,1,3,2,0,0
2016-11-02,0,11,2,3,3,0,0
2016-11-03,0,11,3,3,4,0,1
2016-11-04,0,11,4,3,5,0,0
2016-11-05,0,11,5,3,6,1,0
2016-11-06,0,11,6,3,0,1,0
2016-11-07,0,11,7,3,1,0,0
2016-11-08,0,11,8,3,2,0,0
2016-11-09,0,11,9,3,3,0,0
2016-11-10,0,11,10,3,4,0,0
2016-11-11,0,11,11,3,5,0,0
2016-11-12,0,11,12,3,6,1,0
2016-11-13,0,11,13,3,0,1,0
2016-11-14,0,11,14,3,1,0,0
2016-11-15,0,11,15,3,2,0,0
2016-11-16,0,11,16,3,3,0,0
2016-11-17,0,11,17,3,4,0,0
2016-11-18,0,11,18,3,5,0,0
2016-11-19,0,11,19,3,6,1,0
2016-11-20,0,11,20,3,0,1,0
2016-11-21,0,11,21,3,1,0,0
2016-11-22,0,11,22,3,2,0,0
2016-11-23,0,11,23,3,3,0,1
2016-11-24,0,11,24,3,4,0,0
2016-11-25,0,11,25,3,5,0,0
2016-11-26,0,11,26,3,6,1,0
2016-11-27,0,11,27,3,0,1,0
2016-11-28,0,11,28,3,1,0,0
2016-11-29,0,11,29,3,2,0,0
2016-11-30,0,11,30,3,3,0,0
2016-12-01,0,12,1,0,4,0,0
2016-12-02,0,12,2,0,5,0,0
2016-12-03,0,12,3,0,6,1,0
2016-12-04,0,12,4,0,0,1,0
2016-12-05,0,12,5,0,1,0,0
2016-12-06,0,12,6,0,2,0,0
2016-12-07,0,12,7,0,3,0,0
2016-12-08,0,12,8,0,4,0,0
2016-12-09,0,12,9,0,5,0,0
2016-12-10,0,12,10,0,6,1,0
2016-12-11,0,12,11,0,0,1,0
2016-12-12,0,12,12,0,1,0,0
2016-12-13,0,12,13,0,2,0,0
2016-12-14,0,12,14,0,3,0,0
2016-12-15,0,12,15,0,4,0,0
2016-12-16,0,12,16,0,5,0,0
2016-12-17,0,12,17,0,6,1,0
2016-12-18,0,12,18,0,0,1,0
2016-12-19,0,12,19,0,1,0,0
2016-12-20,0,12,20,0,2,0,0
2016-12-21,0,12,21,0,3,0,0
2016-12-22,0,12,22,0,4,0,0
2016-12-23,0,12,23,0,5,0,1
2016-12-24,0,12,24,0,6,1,0
2016-12-25,0,12,25,0,0,1,0
2016-12-26,0,12,26,0,1,0,0
2016-12-27,0,12,27,0,2,0,0
2016-12-28,0,12,28,0,3,0,0
2016-12-29,0,12,29,0,4,0,1
2016-12-30,0,12,30,0,5,0,1
2016-12-31,0,12,31,0,6,1,1
2017-01-01,1,1,1,0,0,1,1
2017-01-02,1,1,2,0,1,0,1
2017-01-03,1,1,3,0,2,0,1
2017-01-04,1,1,4,0,3,0,0
2017-01-05,1,1,5,0,4,0,0
2017-01-06,1,1,6,0,5,0,0
2017-01-07,1,1,7,0,6,1,0
2017-01-08,1,1,8,0,0,1,0
2017-01-09,1,1,9,0,1,0,1
2017-01-10,1,1,10,0,2,0,0
2017-01-11,1,1,11,0,3,0,0
2017-01-12,1,1,12,0,4,0,0
2017-01-13,1,1,13,0,5,0,0
2017-01-14,1,1,14,0,6,1,0
2017-01-15,1,1,15,0,0,1,0
2017-01-16,1,1,16,0,1,0,0
2017-01-17,1,1,17,0,2,0,0
2017-01-18,1,1,18,0,3,0,0
2017-01-19,1,1,19,0,4,0,0
2017-01-20,1,1,20,0,5,0,0
2017-01-21,1,1,21,0,6,1,0
2017-01-22,1,1,22,0,0,1,0
2017-01-23,1,1,23,0,1,0,0
2017-01-24,1,1,24,0,2,0,0
2017-01-25,1,1,25,0,3,0,0
2017-01-26,1,1,26,0,4,0,0
2017-01-27,1,1,27,0,5,0,0
2017-01-28,1,1,28,0,6,1,0
2017-01-29,1,1,29,0,0,1,0
2017-01-30,1,1,30,0,1,0,0
2017-01-31,1,1,31,0,2,0,0
2017-02-01,1,2,1,0,3,0,0
2017-02-02,1,2,2,0,4,0,0
2017-02-03,1,2,3,0,5,0,0
2017-02-04,1,2,4,0,6,1,0
2017-02-05,1,2,5,0,0,1,0
2017-02-06,1,2,6,0,1,0,0
2017-02-07,1,2,7,0,2,0,0
2017-02-08,1,2,8,0,3,0,0
2017-02-09,1,2,9,0,4,0,0
2017-02-10,1,2,10,0,5,0,0
2017-02-11,1,2,11,0,6,1,1
2017-02-12,1,2,12,0,0,1,0
2017-02-13,1,2,13,0,1,0,0
2017-02-14,1,2,14,0,2,0,0
2017-02-15,1,2,15,0,3,0,0
2017-02-16,1,2,16,0,4,0,0
2017-02-17,1,2,17,0,5,0,0
2017-02-18,1,2,18,0,6,1,0
2017-02-19,1,2,19,0,0,1,0
2017-02-20,1,2,20,0,1,0,0
2017-02-21,1,2,21,0,2,0,0
2017-02-22,1,2,22,0,3,0,0
2017-02-23,1,2,23,0,4,0,0
2017-02-24,1,2,24,0,5,0,0
2017-02-25,1,2,25,0,6,1,0
2017-02-26,1,2,26,0,0,1,0
2017-02-27,1,2,27,0,1,0,0
2017-02-28,1,2,28,0,2,0,0
2017-03-01,1,3,1,1,3,0,0
2017-03-02,1,3,2,1,4,0,0
2017-03-03,1,3,3,1,5,0,0
2017-03-04,1,3,4,1,6,1,0
2017-03-05,1,3,5,1,0,1,0
2017-03-06,1,3,6,1,1,0,0
2017-03-07,1,3,7,1,2,0,0
2017-03-08,1,3,8,1,3,0,0
2017-03-09,1,3,9,1,4,0,0
2017-03-10,1,3,10,1,5,0,0
2017-03-11,1,3,11,1,6,1,0
2017-03-12,1,3,12,1,0,1,0
2017-03-13,1,3,13,1,1,0,0
2017-03-14,1,3,14,1,2,0,0
2017-03-15,1,3,15,1,3,0,0
2017-03-16,1,3,16,1,4,0,0
2017-03-17,1,3,17,1,5,0,0
2017-03-18,1,3,18,1,6,1,0
2017-03-19,1,3,19,1,0,1,0
2017-03-20,1,3,20,1,1,0,1
2017-03-21,1,3,21,1,2,0,0
2017-03-22,1,3,22,1,3,0,0
2017-03-23,1,3,23,1,4,0,0
2017-03-24,1,3,24,1,5,0,0
2017-03-25,1,3,25,1,6,1,0
2017-03-26,1,3,26,1,0,1,0
2017-03-27,1,3,27,1,1,0,0
2017-03-28,1,3,28,1,2,0,0
2017-03-29,1,3,29,1,3,0,0
2017-03-30,1,3,30,1,4,0,0
2017-03-31,1,3,31,1,5,0,0
2017-04-01,1,4,1,1,6,1,0
2017-04-02,1,4,2,1,0,1,0
2017-04-03,1,4,3,1,1,0,0
2017-04-04,1,4,4,1,2,0,0
2017-04-05,1,4,5,1,3,0,0
2017-04-06,1,4,6,1,4,0,0
2017-04-07,1,4,7,1,5,0,0
2017-04-08,1,4,8,1,6,1,0
2017-04-09,1,4,9,1,0,1,0
2017-04-10,1,4,10,1,1,0,0
2017-04-11,1,4,11,1,2,0,0
2017-04-12,1,4,12,1,3,0,0
2017-04-13,1,4,13,1,4,0,0
2017-04-14,1,4,14,1,5,0,0
2017-04-15,1,4,15,1,6,1,0
2017-04-16,1,4,16,1,0,1,0
2017-04-17,1,4,17,1,1,0,0
2017-04-18,1,4,18,1,2,0,0
2017-04-19,1,4,19,1,3,0,0
2017-04-20,1,4,20,1,4,0,0
2017-04-21,1,4,21,1,5,0,0
2017-04-22,1,4,22,1,6,1,0
2017-04-23,1,4,23,1,0,1,0
2017-04-24,1,4,24,1,1,0,0
2017-04-25,1,4,25,1,2,0,0
2017-04-26,1,4,26,1,3,0,0
2017-04-27,1,4,27,1,4,0,0
2017-04-28,1,4,28,1,5,0,0
2017-04-29,1,4,29,1,6,1,1
2017-04-30,1,4,30,1,0,1,0
2017-05-01,1,5,1,1,1,0,0
2017-05-02,1,5,2,1,2,0,0
2017-05-03,1,5,3,1,3,0,1
2017-05-04,1,5,4,1,4,0,1
2017-05-05,1,5,5,1,5,0,1
2017-05-06,1,5,6,1,6,1,0
2017-05-07,1,5,7,1,0,1,0
2017-05-08,1,5,8,1,1,0,0
2017-05-09,1,5,9,1,2,0,0
2017-05-10,1,5,10,1,3,0,0
2017-05-11,1,5,11,1,4,0,0
2017-05-12,1,5,12,1,5,0,0
2017-05-13,1,5,13,1,6,1,0
2017-05-14,1,5,14,1,0,1,0
2017-05-15,1,5,15,1,1,0,0
2017-05-16,1,5,16,1,2,0,0
2017-05-17,1,5,17,1,3,0,0
2017-05-18,1,5,18,1,4,0,0
2017-05-19,1,5,19,1,5,0,0
2017-05-20,1,5,20,1,6,1,0
2017-05-21,1,5,21,1,0,1,0
2017-05-22,1,5,22,1,1,0,0
2017-05-23,1,5,23,1,2,0,0
2017-05-24,1,5,24,1,3,0,0
2017-05-25,1,5,25,1,4,0,0
2017-05-26,1,5,26,1,5,0,0
2017-05-27,1,5,27,1,6,1,0
2017-05-28,1,5,28,1,0,1,0
2017-05-29,1,5,29,1,1,0,0
2017-05-30,1,5,30,1,2,0,0
2017-05-31,1,5,31,1,3,0,0
